Goodreads_ID,5 Stars,4 Stars,3 Stars,2 Stars,1 Star
968.The_Da_Vinci_Code,731457,729405,428021,149660,82991
72193.Harry_Potter_and_the_Philosopher_s_Stone,5420633,1906445,702884,163022,141505
15881.Harry_Potter_and_the_Chamber_of_Secrets,1906462,878809,350929,60870,17755
960.Angels_Demons,1044923,989925,599883,184617,102600
2.Harry_Potter_and_the_Order_of_the_Phoenix,1842775,726288,250988,44875,17701
136251.Harry_Potter_and_the_Deathly_Hallows,2320964,626777,181840,39099,26948
5.Harry_Potter_and_the_Prisoner_of_Azkaban,2296979,784579,236075,32427,16841
41865.Twilight,2009864,1283424,1156805,602204,592340
6.Harry_Potter_and_the_Goblet_of_Fire,2016810,733314,212443,30319,14229
976.Deception_Point,169017,213889,177124,53009,17919
49041.New_Moon,505941,404235,408974,212812,131382
12232938-the-lovely-bones,676865,758789,499574,156958,75243
11125.Digital_Fortress,153034,195563,171871,56764,20181
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,405229,508908,301152,79195,30014
428263.Eclipse,544534,418356,358988,164851,106697
31111270-the-girl-with-the-dragon-tattoo,1320263,952989,396120,117758,83872
77203.The_Kite_Runner,1451916,861643,291906,76156,43614
18619684-the-time-traveler-s-wife,655337,541932,317218,102305,53186
300118.The_World_According_to_Clarkson,1307,2149,1729,453,150
6867.Atonement,160201,174541,95735,30627,13868
6411961-the-lost-symbol,148507,193459,157896,50113,14609
21.A_Short_History_of_Nearly_Everything,161120,114866,46513,12151,7512
1162543.Breaking_Dawn,550572,364140,295388,151682,125550
28438235-the-girl-who-played-with-fire,386303,333084,114801,20451,7279
60748.A_Child_Called_It_,182120,123201,68034,19621,9689
35846108-no-1-ladies-detective-agency-omnibus-edition,8,6,1,0,0
537736.You_Are_What_You_Eat,512,502,385,125,55
47345.Man_and_Boy,2807,5628,5322,1459,438
6259.Birdsong,30632,25562,12026,3628,1513
2120932.The_Battle_of_the_Labyrinth,485757,274035,91983,13069,5532
295.Treasure_Island,124659,162056,117881,26418,8084
4214.Life_of_Pi,515185,518114,287062,94235,49843
3950967-the-tales-of-beedle-the-bard,177801,150347,96894,20840,5554
6580573-captain-corelli-s-mandolin,2000,1250,461,122,43
1013383.The_Gruffalo,23782,9483,3721,998,544
8600.Eats_Shoots_Leaves,30827,39081,25437,6397,2486
24963101-northern-lights,565957,444501,259804,80032,46942
820394.The_Interpretation_of_Murder,2813,5278,4836,1498,476
21489700-stieg-larsson-s-millennium-trilogy-series-set,31611,15610,4098,1018,690
363752.Bridget_Jones,23067,34565,35031,11204,2780
828387.A_Short_History_of_Tractors_in_Ukrainian,3787,10224,10639,3567,1051
20910195-the-alchemist,964859,718936,483065,198340,115957
28.Notes_from_a_Small_Island,32376,40224,23854,5792,2181
1754278.The_Boy_in_the_Striped_Pyjamas,278916,233696,98549,23507,10149
765755.Stupid_White_Men_and_other_Sorry_Excuses_for_the_State_of_the_Nation,1808,4814,6577,2039,636
9047584-jamie-s-30-minute-meals,2418,2225,1279,324,100
1110.The_Broker,22665,32860,25593,5343,1199
12557299-articles-on-british-comedy-novels-including,0,1,0,1,0
55261620-the-very-hungry-caterpillar-big-book,8,0,0,0,0
128029.A_Thousand_Splendid_Suns,726196,416066,128490,23747,9665
1147591.The_Sound_of_Laughter,981,1059,689,204,62
8930.Jamie_s_Italy,2996,2998,1702,372,143
10441.The_Memory_Keeper_s_Daughter,139253,210953,160323,50210,20661
49628528-tall-tales-and-wee-stories,1731,1227,730,165,68
1278752.The_House_at_Riverton,33390,45173,24733,5168,1697
468070.Nigella_Express,10015,8421,5490,1551,938
929.Memoirs_of_a_Geisha,780121,655385,309891,69714,28716
41637836-the-subtle-knife,168622,147184,66468,15224,5577
25099654-jamie-s-ministry-of-food,3568,2754,1387,293,154
1776251.Jamie_at_Home,5343,4233,2550,461,187
3711.White_Teeth,37433,53293,34520,10708,3733
5139.The_Devil_Wears_Prada,242075,275732,219538,64767,27190
4876759-at-my-mother-s-knee,1273,940,465,84,60
1225261.No_Time_for_Goodbye,12395,14680,6965,1624,714
47401.Chocolat,37212,47975,27253,5416,1478
1202922.The_Return_Of_The_Naked_Chef,1521,1354,833,180,97
856990.Angela_s_Ashes,247487,207368,92958,23879,11096
40700.Schott_s_Original_Miscellany,772,699,391,73,12
88061.Dreams_from_My_Father,74112,77615,42397,10272,9834
25304054-the-dangerous-books-for-boys,3,1,0,0,0
2657.To_Kill_a_Mockingbird,2707884,1534667,664784,174552,94893
1.Harry_Potter_and_the_Half_Blood_Prince,1896824,661479,188717,31050,14294
5352.The_Summons,15956,26494,23187,5106,1131
5107.The_Catcher_in_the_Rye,1053047,943900,649079,263009,155100
1010400.I_Can_Make_You_Thin,576,509,461,190,138
531445.Happy_Days_With_The_Naked_Chef,2622,2321,1382,244,94
18723.Brick_Lane,4308,10405,10362,3596,1229
165030.Anybody_Out_There_,19934,21362,13914,3193,1349
33722.The_Undomestic_Goddess,83841,98082,70293,16966,7337
19063.The_Book_Thief,1229543,603311,213031,55461,29932
663323.I_Know_You_Got_Soul,454,761,652,167,30
119822.Sharon_Osbourne_Extreme,972,1003,844,226,51
18122.The_Amber_Spyglass,141668,108294,56781,17052,6840
33724.Can_You_Keep_a_Secret_,128674,138770,101887,26592,12925
32349.Mutant_Message_Down_Under,6327,5913,3892,1673,1194
4701.A_Spot_of_Bother,4944,12422,12075,3756,996
4391492-dear-fatty,2674,3581,2512,690,271
